match_id,minute,second,period,team,player,body_part,shot_type,own_goal,x,y
3857261,50,53,2,England,Phil Foden,Left Foot,Open Play,False,114.5,34.1
3857261,67,40,2,England,Marcus Rashford,Left Foot,Open Play,False,109.9,50.3
3869519,33,27,1,Argentina,Lionel Andrés Messi Cuccittini,Left Foot,Penalty,False,108.0,40.0
3869519,38,26,1,Argentina,Julián Álvarez,Right Foot,Open Play,False,112.7,37.4
3869519,68,46,2,Argentina,Julián Álvarez,Right Foot,Open Play,False,113.3,45.4
3857291,10,52,1,Spain,Daniel Olmo Carvajal,Right Foot,Open Play,False,112.3,39.3
3857291,20,32,1,Spain,Marco Asensio Willemsen,Left Foot,Open Play,False,105.8,33.4
3857291,30,9,1,Spain,Ferrán Torres García,Right Foot,Penalty,False,108.1,40.1
3857291,53,41,2,Spain,Ferrán Torres García,Left Foot,Open Play,False,114.7,49.4
3857291,73,59,2,Spain,Pablo Martín Páez Gavira,Right Foot,Open Play,False,103.0,45.8
3857291,89,11,2,Spain,Carlos Soler Barragán,Right Foot,Open Play,False,109.7,40.1
3857291,91,57,2,Spain,Álvaro Borja Morata Martín,Left Foot,Open Play,False,104.0,36.4
3857262,4,53,1,Portugal,Ricardo Jorge Luz Horta,Right Foot,Open Play,False,113.6,47.0
3857262,26,43,1,South Korea,Young-Gwon Kim,Left Foot,Open Play,False,116.7,38.0
3857262,90,28,2,South Korea,Hee-Chan Hwang,Right Foot,Open Play,False,108.3,44.6
3857284,32,35,1,Germany,İlkay Gündoğan,Right Foot,Penalty,False,108.0,40.0
3857284,74,46,2,Japan,Ritsu Doan,Left Foot,Open Play,False,112.1,41.5
3857284,82,42,2,Japan,Takuma Asano,Right Foot,Open Play,False,117.7,50.2
3857259,28,7,1,Cameroon,Jean-Charles Castelletto,Right Foot,Open Play,False,118.5,43.2
3857259,45,22,1,Serbia,Strahinja Pavlović,Head,Open Play,False,110.7,42.8
3857259,47,52,1,Serbia,Sergej Milinković-Savić,Left Foot,Open Play,False,99.6,46.7
3857259,52,26,2,Serbia,Aleksandar Mitrović,Right Foot,Open Play,False,113.6,40.2
3857259,62,52,2,Cameroon,Vincent Paté Aboubakar,Right Foot,Open Play,False,104.4,49.0
3857259,65,25,2,Cameroon,Jean-Eric Maxim Choupo-Moting,Left Foot,Open Play,False,111.0,37.0
3857276,3,29,1,Morocco,Hakim Ziyech,Left Foot,Open Play,False,83.9,45.0
3857276,22,36,1,Morocco,Youssef En-Nesyri,Right Foot,Open Play,False,107.6,53.2
3857276,39,50,1,Canada,,,Own Goal,True,,
3857290,47,33,2,Switzerland,Breel-Donald Embolo,Right Foot,Open Play,False,111.9,39.5
3857273,97,56,2,Iran,Roozbeh Cheshmi,Right Foot,Open Play,False,95.1,37.5
3857273,100,37,2,Iran,Ramin Rezaeian,Right Foot,Open Play,False,104.8,45.3
3857256,19,11,1,Switzerland,Xherdan Shaqiri,Left Foot,Open Play,False,107.5,50.6
3857256,25,56,1,Serbia,Aleksandar Mitrović,Head,Open Play,False,108.3,38.6
3857256,34,28,1,Serbia,Dušan Vlahović,Left Foot,Open Play,False,106.2,31.8
3857256,43,41,1,Switzerland,Breel-Donald Embolo,Right Foot,Open Play,False,114.4,36.9
3857256,47,38,2,Switzerland,Remo Freuler,Left Foot,Open Play,False,107.2,41.2
3869420,105,35,3,Brazil,Neymar da Silva Santos Junior,Right Foot,Open Play,False,116.5,47.2
3869420,116,2,4,Croatia,Bruno Petković,Left Foot,Open Play,False,103.2,38.6
3869354,16,22,1,France,Aurélien Djani Tchouaméni,Right Foot,Open Play,False,92.5,43.5
3869354,53,27,2,England,Harry Kane,Right Foot,Penalty,False,108.1,40.1
3869354,77,10,2,France,Olivier Giroud,Head,Open Play,False,114.7,36.4
3857266,60,25,2,France,Kylian Mbappé Lottin,Right Foot,Open Play,False,110.8,31.3
3857266,67,15,2,Denmark,Andreas Christensen,Head,Open Play,False,113.0,37.6
3857266,85,9,2,France,Kylian Mbappé Lottin,Other,Open Play,False,117.8,36.5
3857280,91,48,2,Cameroon,Vincent Paté Aboubakar,Head,Open Play,False,106.7,40.7
3857285,83,50,2,Netherlands,Cody Mathès Gakpo,Head,Open Play,False,112.3,39.0
3857285,98,18,2,Netherlands,Davy Klaassen,Left Foot,Open Play,False,109.5,34.8
3857271,34,9,1,England,Jude Bellingham,Head,Open Play,False,112.0,38.0
3857271,42,46,1,England,Bukayo Saka,Left Foot,Open Play,False,104.1,38.5
3857271,45,17,1,England,Raheem Sterling,Right Foot,Open Play,False,111.0,42.8
3857271,61,26,2,England,Bukayo Saka,Left Foot,Open Play,False,105.3,46.3
3857271,64,33,2,Iran,Mehdi Taremi,Right Foot,Open Play,False,109.7,48.0
3857271,70,51,2,England,Marcus Rashford,Left Foot,Open Play,False,109.7,47.7
3857271,89,1,2,England,Jack Grealish,Right Foot,Open Play,False,112.0,39.9
3857271,102,30,2,Iran,Mehdi Taremi,Right Foot,Penalty,False,108.0,40.0
3857270,53,40,2,Portugal,Bruno Miguel Borges Fernandes,Right Foot,Open Play,False,99.4,14.6
3857270,92,19,2,Portugal,Bruno Miguel Borges Fernandes,Right Foot,Penalty,False,108.0,40.0
