match_id,team,player,jersey_number,starter,appeared,first_position,on_time,off_time,start_reason,end_reason,num_positions_played
3869118,England,Eric Dier,15,False,True,Right Center Back,76:10,,Substitution - On (Tactical),Final Whistle,1
3869118,England,Bukayo Saka,17,True,True,Right Wing,00:00,64:19,Starting XI,Substitution - Off (Tactical),1
3869118,England,Aaron Ramsdale,23,False,False,,,,,,0
3869118,England,Conor Gallagher,26,False,False,,,,,,0
3869118,England,Jude Bellingham,22,True,True,Left Center Midfield,00:00,75:55,Starting XI,Substitution - Off (Tactical),1
3857264,Argentina,Ángel Fabián Di María Hernández,11,True,True,Right Wing,00:00,58:18,Starting XI,Substitution - Off (Tactical),3
3857264,Argentina,Nicolás Hernán Otamendi,19,True,True,Left Center Back,00:00,,Starting XI,Final Whistle,1
3857264,Argentina,Lionel Andrés Messi Cuccittini,10,True,True,Center Forward,00:00,,Starting XI,Final Whistle,2
3857264,Argentina,Nicolás Alejandro Tagliafico,3,False,True,Left Back,58:27,,Substitution - On (Tactical),Final Whistle,2
3857264,Argentina,Paulo Bruno Exequiel Dybala,21,False,False,,,,,,0
3857264,Argentina,Franco Armani,1,False,False,,,,,,0
3857264,Argentina,Ángel Martín Correa,15,False,False,,,,,,0
3857264,Argentina,Gerónimo Rulli,12,False,False,,,,,,0
3857264,Argentina,Damián Emiliano Martínez,23,True,True,Goalkeeper,00:00,,Starting XI,Final Whistle,1
3857264,Argentina,Alejandro Darío Gómez,17,False,False,,,,,,0
3857264,Argentina,Germán Alejandro Pezzella,6,False,True,Left Center Midfield,78:24,,Substitution - On (Tactical),Final Whistle,2
3857264,Argentina,Rodrigo Javier De Paul,7,True,True,Right Center Midfield,00:00,,Starting XI,Final Whistle,2
3857264,Argentina,Lautaro Javier Martínez,22,False,True,Center Forward,78:05,,Substitution - On (Tactical),Final Whistle,1
3857264,Argentina,Leandro Daniel Paredes,5,False,True,Right Wing,58:18,,Substitution - On (Tactical),Final Whistle,3
3857264,Argentina,Marcos Javier Acuña,8,True,True,Left Back,00:00,58:27,Starting XI,Substitution - Off (Tactical),1
3857264,Argentina,Cristian Gabriel Romero,13,True,True,Right Center Back,00:00,,Starting XI,Final Whistle,1
3857264,Argentina,Juan Marcos Foyth,2,False,False,,,,,,0
3857264,Argentina,Guido Rodríguez,18,False,False,,,,,,0
3857264,Argentina,Lisandro Martínez,25,False,False,,,,,,0
3857264,Argentina,Alexis Mac Allister,20,True,True,Left Center Midfield,00:00,82:47,Starting XI,Substitution - Off (Tactical),2
3857264,Argentina,Gonzalo Ariel Montiel,4,False,False,,,,,,0
3857264,Argentina,Exequiel Alejandro Palacios,14,False,False,,,,,,0
3857264,Argentina,Thiago Ezequiel Almada,16,False,True,Left Wing,82:47,,Substitution - On (Tactical),Final Whistle,1
3857264,Argentina,Nahuel Molina Lucero,26,True,True,Right Back,00:00,,Starting XI,Final Whistle,2
3857264,Argentina,Julián Álvarez,9,True,True,Left Wing,00:00,78:05,Starting XI,Substitution - Off (Tactical),4
3857264,Argentina,Enzo Fernandez,24,True,True,Center Defensive Midfield,00:00,78:24,Starting XI,Substitution - Off (Tactical),2
3857264,Poland,Kamil Glik,15,True,True,Right Center Back,00:00,,Starting XI,Final Whistle,1
3857264,Poland,Grzegorz Krychowiak,10,True,True,Left Defensive Midfield,00:00,82:57,Starting XI,Substitution - Off (Tactical),1
3857264,Poland,Jan Bednarek,5,False,False,,,,,,0
3857264,Poland,Sebastian Szymański,19,False,False,,,,,,0
3857264,Poland,Robert Gumny,25,False,False,,,,,,0
3857264,Poland,Artur Jędrzejczyk,3,False,True,Left Back,72:00,,Substitution - On (Tactical),Final Whistle,1
3857264,Poland,Matty Cash,2,True,True,Right Back,00:00,,Starting XI,Final Whistle,1
3857264,Poland,Piotr Zieliński,20,True,True,Right Midfield,00:00,,Starting XI,Final Whistle,3
3857264,Poland,Arkadiusz Milik,7,False,False,,,,,,0
3857264,Poland,Kamil Grosicki,11,False,False,,,,,,0
3857264,Poland,Robert Lewandowski,9,True,True,Right Center Forward,00:00,,Starting XI,Final Whistle,2
3857264,Poland,Wojciech Szczęsny,1,True,True,Goalkeeper,00:00,,Starting XI,Final Whistle,1
3857264,Poland,Bartosz Bereszyński,18,True,True,Left Back,00:00,72:00,Starting XI,Substitution - Off (Tactical),2
3857264,Poland,Przemysław Frankowski,24,True,True,Left Midfield,00:00,45:00,Starting XI,Substitution - Off (Tactical),1
3857264,Poland,Szymon Żurkowski,17,False,False,,,,,,0
3857264,Poland,Mateusz Wieteska,4,False,False,,,,,,0
3857264,Poland,Damian Szymański,8,False,True,Right Defensive Midfield,61:45,,Substitution - On (Tactical),Final Whistle,1
3857264,Poland,Karol Świderski,16,True,True,Left Center Forward,00:00,45:00,Starting XI,Substitution - Off (Tactical),1
3857264,Poland,Łukasz Skorupski,12,False,False,,,,,,0
3857264,Poland,Krystian Bielik,6,True,True,Right Defensive Midfield,00:00,61:45,Starting XI,Substitution - Off (Tactical),1
3857264,Poland,Krzysztof Piątek,23,False,True,Left Defensive Midfield,82:57,,Substitution - On (Tactical),Final Whistle,2
3857264,Poland,Kamil Grabara,22,False,False,,,,,,0
3857264,Poland,Michał Skóraś,26,False,True,Right Midfield,45:00,,Tactical Shift,Final Whistle,3
3857264,Poland,Jakub Kamiński,13,False,True,Left Midfield,45:00,,Tactical Shift,Final Whistle,1
3857264,Poland,Jakub Piotr Kiwior,14,True,True,Left Center Back,00:00,,Starting XI,Final Whistle,1
3857264,Poland,Nicola Zalewski,21,False,False,,,,,,0
3857288,Tunisia,Wahbi Khazri,10,False,True,Left Center Midfield,66:47,,Substitution - On (Tactical),Final Whistle,2
3857288,Tunisia,Naïm Sliti,23,True,True,Right Attacking Midfield,00:00,,Starting XI,Final Whistle,2
3857288,Tunisia,Ellyes Joris Skhiri,17,True,True,Right Defensive Midfield,00:00,,Starting XI,Final Whistle,3
