match_id,team,player,card,time,period,reason
3857290,Switzerland,Manuel Obafemi Akanji,Yellow Card,82:49,2,Foul Committed
3857290,Switzerland,Nico Elvedi,Yellow Card,63:29,2,Foul Committed
3857273,Wales,Wayne Hennessey,Red Card,83:43,2,Foul Committed
3857273,Wales,Joe Rodon,Yellow Card,47:31,1,Foul Committed
3857273,Iran,Ramin Rezaeian,Yellow Card,94:00,2,Bad Behaviour
3857273,Iran,Alireza Jahanbakhsh,Yellow Card,94:20,2,Foul Committed
3857256,Switzerland,Granit Xhaka,Yellow Card,94:21,2,Bad Behaviour
3857256,Switzerland,Fabian Lukas Schär,Yellow Card,98:17,2,Foul Committed
3857256,Switzerland,Silvan Widmer,Yellow Card,14:27,1,Foul Committed
3857256,Switzerland,Ruben Vargas,Yellow Card,33:22,1,Foul Committed
3857256,Serbia,Aleksandar Mitrović,Yellow Card,81:42,2,Bad Behaviour
3857256,Serbia,Sergej Milinković-Savić,Yellow Card,46:35,2,Foul Committed
3857256,Serbia,Nikola Milenković,Yellow Card,94:20,2,Bad Behaviour
3857256,Serbia,Saša Lukić,Yellow Card,99:03,2,Foul Committed
3857256,Serbia,Predrag Rajković,Yellow Card,66:05,2,Bad Behaviour
3857256,Serbia,Nemanja Gudelj,Yellow Card,80:29,2,Foul Committed
3857256,Serbia,Strahinja Pavlović,Yellow Card,55:00,2,Foul Committed
3869420,Brazil,Danilo Luiz da Silva,Yellow Card,24:06,1,Foul Committed
3869420,Brazil,Marcos Aoás Corrêa,Yellow Card,76:16,2,Foul Committed
3869420,Brazil,Carlos Henrique Casimiro,Yellow Card,67:21,2,Foul Committed
3869420,Croatia,Marcelo Brozović,Yellow Card,30:14,1,Foul Committed
3869420,Croatia,Bruno Petković,Yellow Card,11:19,4,Bad Behaviour
3869354,France,Ousmane Dembélé,Yellow Card,45:48,2,Foul Committed
3869354,France,Antoine Griezmann,Yellow Card,42:15,1,Foul Committed
3869354,France,Theo Bernard François Hernández,Yellow Card,79:43,2,Foul Committed
3869354,England,Harry Maguire,Yellow Card,88:42,2,Foul Committed
3857266,France,Jules Koundé,Yellow Card,42:06,1,Foul Committed
3857266,Denmark,Andreas Christensen,Yellow Card,19:03,1,Foul Committed
3857266,Denmark,Andreas Evald Cornelius,Yellow Card,22:15,1,Foul Committed
3857280,Brazil,Éder Gabriel Militão,Yellow Card,06:24,1,Foul Committed
3857280,Brazil,Bruno Guimarães Rodriguez Moura,Yellow Card,84:21,2,Foul Committed
3857280,Cameroon,Vincent Paté Aboubakar,Yellow Card,80:29,2,Foul Committed
3857280,Cameroon,Vincent Paté Aboubakar,Second Yellow,92:54,2,Bad Behaviour
3857280,Cameroon,Pierre Kunde Malong,Yellow Card,27:49,1,Foul Committed
3857280,Cameroon,Nouhou Tolo,Yellow Card,05:09,1,Foul Committed
3857280,Cameroon,Ngoran Suiru Fai Collins,Yellow Card,31:47,1,Foul Committed
3857285,Senegal,Idrissa Gana Gueye,Yellow Card,95:15,2,Foul Committed
3857285,Senegal,Nampalys Mendy,Yellow Card,93:48,2,Foul Committed
3857285,Netherlands,Matthijs de Ligt,Yellow Card,55:48,2,Foul Committed
3857271,Iran,Morteza Pouraliganji,Yellow Card,47:47,2,Foul Committed
3857271,Iran,Alireza Jahanbakhsh,Yellow Card,24:19,1,Foul Committed
3857270,Portugal,Rúben Santos Gato Alves Dias,Yellow Card,88:35,2,Bad Behaviour
3857270,Portugal,Rúben Diogo Da Silva Neves,Yellow Card,37:45,1,Foul Committed
3857270,Portugal,João Félix Sequeira,Yellow Card,76:12,2,Foul Committed
3857270,Uruguay,Rodrigo Bentancur Colmán,Yellow Card,05:34,1,Foul Committed
3857270,Uruguay,Mathías Olivera Miramontes,Yellow Card,43:50,1,Bad Behaviour
