match_id,minute,second,team,player
3857276,16,1,Morocco,Yassine Bounou
3857276,30,4,Morocco,Azzedine Ounahi
3857276,39,20,Morocco,Azzedine Ounahi
3857276,47,18,Morocco,Nayef Aguerd
3857276,65,52,Canada,David Junior Hoilett
3857276,67,23,Canada,Kamal Miller
3857276,91,54,Canada,Milan Borjan
3857290,6,33,Cameroon,Nouhou Tolo
3857290,12,32,Switzerland,Xherdan Shaqiri
3857290,13,41,Cameroon,Nicolas Alexis Julio N'Koulou Ndoubena
3857290,57,40,Switzerland,Breel-Donald Embolo
3857273,14,55,Iran,Sardar Azmoun
3857273,43,19,Wales,Ethan Ampadu
3857273,49,38,Wales,Aaron Ramsey
3857273,91,20,Iran,Alireza Jahanbakhsh
3869420,10,27,Brazil,Marcos Aoás Corrêa
3869420,43,59,Croatia,Joško Gvardiol
3869420,45,45,Croatia,Josip Juranović
3869420,47,10,Brazil,Carlos Henrique Casimiro
3869420,50,5,Croatia,Andrej Kramarić
3869420,102,58,Brazil,Danilo Luiz da Silva
3869354,5,17,England,Luke Shaw
3869354,49,49,France,Hugo Lloris
3869354,71,50,France,Adrien Rabiot
3857266,52,24,France,Jules Koundé
3857266,54,50,Denmark,Jesper Lindstrøm
3857280,8,59,Brazil,Gleison Bremer Silva Nascimento
3857285,12,50,Senegal,Idrissa Gana Gueye
3857285,72,37,Senegal,Krépin Diatta
3857285,94,47,Netherlands,Denzel Dumfries
3857271,23,51,England,Jordan Pickford
3857271,47,13,England,Jude Bellingham
3857271,86,23,Iran,Seyed Hossein Hosseini
3857271,87,15,Iran,Seyed Hossein Hosseini
3857270,28,31,Portugal,Rúben Diogo Da Silva Neves
3857270,45,54,Portugal,Diogo Meireles Costa
3857270,55,12,Portugal,Diogo Meireles Costa
