match_id,minute,second,team,player,card,advantage,offensive
3857279,69,56,Australia,Jackson Irvine,,False,False
3857279,77,39,France,Olivier Giroud,,False,False
3857279,79,7,Australia,Jackson Irvine,Yellow Card,False,False
3857279,82,30,Australia,Garang Kuol,,False,False
3857279,86,24,Australia,Aziz Eraltay Behich,,True,False
3857279,87,25,Australia,Aaron Mooy,,True,False
3857279,93,51,Australia,Aaron Mooy,Yellow Card,False,False
3857279,96,6,France,Kylian Mbappé Lottin,,False,True
3857272,1,32,England,Luke Shaw,,False,False
3857272,4,35,United States,Yunus Dimoara Musah,,False,False
3857272,17,11,United States,Yunus Dimoara Musah,,False,False
3857272,23,59,England,Mason Mount,,False,False
3857272,24,33,England,Kieran Trippier,,True,False
3857272,26,53,England,Kieran Trippier,,False,False
3857272,29,51,England,John Stones,,False,False
3857272,30,54,United States,Weston McKennie,,False,False
3857272,32,48,United States,Walker Zimmerman,,False,False
3857272,36,23,England,Mason Mount,,True,False
3857272,36,39,United States,Christian Pulisic,,False,True
3857272,38,47,United States,Sergino Dest,,False,False
3857272,49,49,United States,Tyler Adams,,False,False
3857272,55,44,England,Bukayo Saka,,False,False
3857272,58,33,United States,Yunus Dimoara Musah,,False,False
3857272,62,4,England,Mason Mount,,False,False
3857272,64,20,United States,Sergino Dest,,False,False
3857272,70,5,England,Harry Maguire,,False,False
3857272,72,32,United States,Sergino Dest,,False,False
3857272,79,15,United States,Shaquell Moore,,False,False
3857272,81,54,United States,Shaquell Moore,,False,False
3857272,83,39,United States,Shaquell Moore,,False,False
3857272,84,34,England,Luke Shaw,,False,False
3857272,86,29,United States,Tyler Adams,,True,False
3857272,89,37,United States,Christian Pulisic,,False,False
3857272,91,39,United States,Yunus Dimoara Musah,,False,False
3857272,93,45,England,Harry Maguire,,False,False
3857277,1,53,Morocco,Sofiane Boufal,,False,False
3857277,7,30,Croatia,Marcelo Brozović,,False,False
3857277,8,34,Morocco,Hakim Ziyech,,False,False
3857277,18,25,Croatia,Luka Modrić,,False,False
3857277,24,28,Morocco,Noussair Mazraoui,,False,False
3857277,26,2,Morocco,Hakim Ziyech,,False,False
3857277,28,24,Croatia,Marcelo Brozović,,False,False
3857277,29,1,Croatia,Luka Modrić,,False,False
3857277,35,24,Croatia,Marcelo Brozović,,False,False
3857277,36,26,Croatia,Nikola Vlašić,,False,False
3857277,37,30,Morocco,Sofyan Amrabat,,False,False
3857277,39,40,Croatia,Luka Modrić,,False,False
3857277,44,24,Morocco,Sofiane Boufal,,False,False
3857277,45,30,Morocco,Achraf Hakimi Mouh,,True,False
