match_id,minute,second,team,player_off,player_in,reason
3869685,63,51,Argentina,Ángel Fabián Di María Hernández,Marcos Javier Acuña,Tactical
3869685,70,27,France,Theo Bernard François Hernández,Eduardo Camavinga,Tactical
3869685,70,29,France,Antoine Griezmann,Kingsley Coman,Tactical
3869685,90,0,Argentina,Nahuel Molina Lucero,Gonzalo Ariel Montiel,Tactical
3869685,95,10,France,Adrien Rabiot,Youssouf Fofana,Tactical
3869685,101,37,Argentina,Rodrigo Javier De Paul,Leandro Daniel Paredes,Tactical
3869685,101,49,Argentina,Julián Álvarez,Lautaro Javier Martínez,Tactical
3869685,112,28,France,Raphaël Varane,Ibrahima Konaté,Injury
3869685,115,22,Argentina,Alexis Mac Allister,Germán Alejandro Pezzella,Tactical
3869685,120,35,France,Jules Koundé,Axel Disasi,Tactical
3869685,120,46,Argentina,Nicolás Alejandro Tagliafico,Paulo Bruno Exequiel Dybala,Tactical
3869486,50,43,Portugal,Raphaël Adelino José Guerreiro,João Pedro Cavaco Cancelo,Tactical
3869486,50,47,Portugal,Rúben Diogo Da Silva Neves,Cristiano Ronaldo dos Santos Aveiro,Tactical
3869486,56,57,Morocco,Romain Saïss,Achraf Dari,Injury
3869486,63,46,Morocco,Selim Amallah,Walid Cheddira,Tactical
3869486,64,0,Morocco,Youssef En-Nesyri,Badr Banoun,Tactical
3869486,68,21,Portugal,Gonçalo Matias Ramos,Rafael Alexandre Conceição Leão,Tactical
3869486,68,29,Portugal,Otávio Edmilson da Silva Monteiro,Vitor Machado Ferreira,Tactical
3869486,78,40,Portugal,José Diogo Dalot Teixeira,Ricardo Jorge Luz Horta,Tactical
3869486,80,35,Morocco,Hakim Ziyech,Zakaria Aboukhlal,Tactical
3869486,80,52,Morocco,Sofiane Boufal,Yahya Jabrane,Tactical
3869552,20,36,Morocco,Romain Saïss,Selim Amallah,Injury
3869552,45,0,Morocco,Noussair Mazraoui,Yahia Attiyat allah,Tactical
3869552,64,45,France,Olivier Giroud,Marcus Thuram,Tactical
3869552,65,43,Morocco,Youssef En-Nesyri,Abderrazak Hamdallah,Tactical
3869552,66,5,Morocco,Sofiane Boufal,Zakaria Aboukhlal,Tactical
3869552,77,31,Morocco,Selim Amallah,Abdessamad Ezzalzouli,Tactical
3869552,78,7,France,Ousmane Dembélé,Randal Kolo Muani,Tactical
3857295,45,0,Japan,Yuto Nagatomo,Hiroki Ito,Tactical
3857295,45,0,Japan,Ayase Ueda,Takuma Asano,Tactical
3857295,61,34,Japan,Miki Yamane,Kaoru Mitoma,Tactical
3857295,64,4,Costa Rica,Gerson Torres Barrantes,Brandon Aguilera Zamora,Tactical
3857295,64,27,Costa Rica,Anthony Daniel Contreras Enríquez,Jewison Bennette,Tactical
3857295,66,11,Japan,Ritsu Doan,Junya Ito,Tactical
3857295,81,49,Japan,Yuki Soma,Takumi Minamino,Tactical
3857295,88,49,Costa Rica,Celso Borges Mora,Youstin Delfin Salas Gómez,Tactical
3857295,94,20,Costa Rica,Joel Nathaniel Campbell Samuels,Daniel Alonso Chacón Salas,Tactical
3857281,45,0,Canada,Cyle Larin,Jonathan Osorio,Tactical
3857281,45,0,Canada,Stephen Antunes Eustáquio,Ismael Koné,Injury
3857281,59,58,Croatia,Marko Livaja,Bruno Petković,Tactical
3857281,61,25,Canada,Richie Laryea,David Junior Hoilett,Tactical
3857281,72,11,Croatia,Andrej Kramarić,Nikola Vlašić,Tactical
3857281,72,27,Canada,Jonathan David,Lucas Daniel Cavallini,Tactical
3857281,72,28,Canada,Atiba Hutchinson,Sam Adekugbe,Tactical
3857281,85,20,Croatia,Ivan Perišić,Mislav Oršić,Tactical
3857281,85,25,Croatia,Luka Modrić,Mario Pašalić,Tactical
3857281,85,42,Croatia,Mateo Kovačić,Lovro Majer,Tactical
3857287,63,36,Uruguay,Luis Alberto Suárez Díaz,Edinson Roberto Cavani Gómez,Tactical
3857287,73,34,South Korea,Ui-Jo Hwang,Gue-Sung Cho,Tactical
3857287,73,38,South Korea,Jae-Sung Lee,Jun-Ho Son,Tactical
3857287,74,3,South Korea,Sang-Ho Na,Kang-In Lee,Tactical
3857287,77,50,Uruguay,Matías Vecino Falero,Diego Nicolás De La Cruz Arcosa,Tactical
3857287,78,17,Uruguay,Mathías Olivera Miramontes,Matías Nicolás Viña Susperreguy,Tactical
3857287,87,22,Uruguay,Facundo Pellistri Rebollo,Guillermo Varela Olivera,Tactical
3857299,45,0,South Korea,Woo-Yeong Jeong,Sang-Ho Na,Tactical
3857299,56,19,South Korea,Chang-Hoon Kwon,Kang-In Lee,Tactical
3857299,77,46,Ghana,Tariq Lamptey,Denis Odoi,Tactical
3857299,77,47,Ghana,André Ayew Pelé,Daniel-Kofi Kyereh,Tactical
3857299,77,48,Ghana,Jordan Ayew,Kamaldeen Sulemana,Tactical
3857299,78,9,South Korea,Woo-Young Jung,Ui-Jo Hwang,Tactical
3857299,82,8,Ghana,Mohammed Kudus,Alexander Djiku,Tactical
