match_id,minute,second,team,player,card,reason
3869117,59,24,Netherlands,Teun Koopmeiners,Yellow Card,Foul
3869117,86,34,Netherlands,Frenkie de Jong,Yellow Card,Foul
3857269,49,51,Switzerland,Fabian Rieder,Yellow Card,Foul
3857269,51,24,Brazil,Frederico Rodrigues Santos,Yellow Card,Foul
3857275,27,20,Tunisia,Wajdi Kechrida,Yellow Card,Foul
3857268,7,10,Belgium,Yannick Ferreira Carrasco,Yellow Card,Foul
3857268,52,52,Belgium,Thomas Meunier,Yellow Card,Foul
3857268,55,48,Belgium,Amadou Onana,Yellow Card,Foul
3857268,80,37,Canada,Alphonso Davies,Yellow Card,Foul
3857268,82,38,Canada,Alistair Johnston,Yellow Card,Foul
3869219,89,30,Croatia,Mateo Kovačić,Yellow Card,Foul
3869219,115,26,Croatia,Borna Barišić,Yellow Card,Foul
3857293,18,58,Uruguay,Darwin Gabriel Núñez Ribeiro,Yellow Card,Bad Behaviour
3857293,59,37,Uruguay,Luis Alberto Suárez Díaz,Yellow Card,Bad Behaviour
3857293,85,2,Ghana,Kamaldeen Sulemana,Yellow Card,Foul
3857293,86,4,Uruguay,Sebastián Coates Nión,Yellow Card,Foul
3857293,98,27,Ghana,Alidu Seidu,Yellow Card,Foul
3857293,100,2,Uruguay,José María Giménez de Vargas,Yellow Card,Bad Behaviour
3857293,100,8,Uruguay,Edinson Roberto Cavani Gómez,Yellow Card,Bad Behaviour
3857274,56,13,Ecuador,Jhegson Sebastián Méndez Carabalí,Yellow Card,Foul
3869152,30,55,France,Aurélien Djani Tchouaméni,Yellow Card,Foul
3869152,46,14,Poland,Bartosz Bereszyński,Yellow Card,Foul
3869152,87,44,Poland,Matty Cash,Yellow Card,Foul
3857260,14,56,Mexico,Edson Omar Álvarez Velázquez,Yellow Card,Foul
3857260,27,44,Saudi Arabia,Saleh Khalid Al Shehri,Yellow Card,Foul
3857260,33,22,Saudi Arabia,Ali Al Hassan,Yellow Card,Foul
3857260,51,0,Saudi Arabia,Hassan Mohammed Al-Tambakti,Yellow Card,Foul
3857260,80,27,Saudi Arabia,Abdullah Mohammed Madu,Yellow Card,Foul
3857260,90,23,Saudi Arabia,Abdulelah Al Amri,Yellow Card,Foul
3857260,96,47,Saudi Arabia,Hattan Babhir,Yellow Card,Foul
3857289,21,29,Mexico,Néstor Alejandro Araújo Razo,Yellow Card,Foul
3857289,42,35,Argentina,Gonzalo Ariel Montiel,Yellow Card,Foul
3857289,49,25,Mexico,Érick Gabriel Gutiérrez Galaviz,Yellow Card,Foul
3857289,65,53,Mexico,Héctor Miguel Herrera López,Yellow Card,Foul
3857289,88,47,Mexico,Roberto Carlos Alvarado Hernández,Yellow Card,Foul
3857255,38,24,Japan,Ko Itakura,Yellow Card,Foul
3857255,43,31,Japan,Shogo Taniguchi,Yellow Card,Foul
3857255,44,20,Japan,Maya Yoshida,Yellow Card,Foul
3857298,44,55,Ghana,Mohammed Kudus,Yellow Card,Foul
